TEXTO,LABEL
de siento al problemas resolver satisfacción complejos ingeniería,0
me las al con día últimas gusta tecnologías industriales estar,0
que la diseñar quiero sistemas producción optimicen,0
me que apasiona construir la diseñar infraestructuras sociedad mejoren,1
disfruto de en proyectos trabajando ingeniería estructural,1
de en la quiero desarrollo participar el ciudades urbana planificación,1
me interesa la el del ingeniería hidráulica manejo agua,1
siento por construir puentes seguras carreteras motivación,1
me de los la fascina el estudiar comportamiento geotecnia suelos,1
de por en la quiero áreas ayudar desastres reconstrucción afectadas,1
disfruto de en software diseño ingeniería modelado utilizando,1
me de interesa proyectos la obras gestión construcción,1
las de siento por el construcciones impacto ambiental responsabilidad,1
me de en proyectos gusta colaborar energías renovables,1
mejorar de la quiero infraestructura transporte público,1
disfruto en equipos supervisando coordinando obra,1
me interesa en la construcción normativa regulación,1
que siento una la ver al comunidad satisfacción beneficia obra terminada,1
me apasiona software desarrollar aplicaciones útiles,2
disfruto de resolviendo problemas lógicos programación,2
quiero sobre aprender inteligencia artificial aprendizaje profundo,2
me interesa la sistemas proteger ciberseguridad informáticos,2
siento al crear emoción videojuegos experiencias interactivas,2
me de gusta tecnologías nuevas lenguajes programación explorar,2
de en la quiero contribuir al avance computación nube,2
disfruto de eficientes datos diseñando bases,2
me de interesa desarrollo móviles el aplicaciones,2
las cosas de siento curiosidad por internet el sus aplicaciones,2
me de apasiona la el datos ciencia análisis,2
disfruto de en proyectos trabajando código abierto,2
las mejorar de la quiero accesibilidad usabilidad interfaces,2
me interesa la realidad virtual aumentada,2
procesos siento optimizar al satisfacción algoritmos,2
me cómo de se fascina través diferentes medios datos transmiten,3
en quiero redes tecnologías innovar inalámbricas,3
disfruto de redes comunicación configurando administrando,3
me interesa la sus aplicaciones satelital transmisión,3
mejorar siento por la conectividad global entusiasmo,3
me de con gusta trabajar sistemas velocidad alta fibra óptica,3
quiero desarrollar para soluciones comunicaciones seguras,3
disfruto de comunicación sobre aprendiendo protocolos estándares,3
me de interesa la sistemas telecomunicaciones integración,3
siento por la reducir digital motivación brecha,3
me de apasiona el sistemas diseño antenas radiocomunicación,3
las cosas de en proyectos quiero internet participar iot,3
disfruto analizando sistemas señales,3
me interesa en la políticas telecomunicaciones regulación,3
siento por en mantener comunicaciones responsabilidad fiables situaciones críticas,3
me que apasiona diseños funcionalidad crear combinen estética,4
disfruto de dibujando planos maquetas edificaciones,4
de quiero contribuir al sostenibles espacios diseño ecológicos,4
me de interesa edificios la restauración históricos preservación,4
siento en la arquitectura inspiración contemporánea,4
me en tecnología gusta el diseño incorporar arquitectónico,4
mejorar en la quiero entornos urbanos habitabilidad,4
disfruto diferentes estilos explorando arquitectónicos movimientos,4
me de interesa la el ciudades urbanismo planificación,4
siento la con diseño compromiso accesibilidad inclusivo,4
me de apasiona el espacios diseño paisajismo exteriores,4
de en quiero innovar construcción técnicas materiales,4
disfruto en proyectos con otros colaborando multidisciplinarios profesionales,4
me de interesa la el arquitectura social impacto cultural,4
siento ver mis al diseños satisfacción realidad hechos,4
me las ideas gusta cuestionar conceptos establecidos,5
disfruto de leyendo obras filósofos clásicos modernos,5
las la quiero sobre diferentes comprender teorías existencia,5
me cómo interesa en la sociedad ética aplicarla,5
de siento curiosidad por los la realidad fundamentos metafísica,5
me apasiona sobre filosofía social política debatir,5
disfruto de la mente explorando filosofía conciencia,5
cómo en quiero el nuestro analizar pensamiento lenguaje influye,5
me interesa la arte del filosofía estética,5
de que siento la ver forma puede el mundo filosofía cambiar nuestra,5
me las gusta investigar corrientes filosóficas orientales,5
disfruto la el sobre reflexionando bien común moralidad,5
quiero al diálogo filosófico aportar contemporáneo,5
me cómo interesa se la con filosofía relaciona otras disciplinas,5
que siento para el es pensamiento esencial progreso crítico,5
me entender cómo las apasiona personas piensan sienten,6
disfruto de la desarrollo el vida lo humano estudiando largo,6
quiero ayudar otros superar sus emocionales dificultades,6
me las interesa la social psicología interacciones grupales,6
siento por quienes empatía enfrentan trastornos mentales,6
me las gusta el sobre investigar comportamiento motivaciones,6
en quiero el del especializarme funcionamiento cerebro neuropsicología,6
mejorar disfruto de la para vida calidad técnicas terapéuticas aplicando,6
me interesa en la el bienestar trabajo laboral psicología,6
de siento la con salud mental compromiso promoción,6
me apasiona la el psicología aprendizaje apoyar educativa,6
cómo los quiero comprender del efectos estrés manejarlos,6
las disfruto en la emociones estudiando su impacto conducta,6
me interesa en la aplicación el su sistema psicología forense legal,6
las de que siento en una la personas vida diferencia marcar puedo positiva,6
me de en la encanta través lectura mundos diferentes sumergirme,7
disfruto mis ideas escribiendo expresando relatos,7
la quiero estudiar del su lenguaje influencia cultural evolución,7
me de interesa la el textos literaria crítica análisis,7
siento por la sus diversas formas pasión poesía,7
me en gusta obras otros comprender idiomas traducir,7
quiero sobre investigar literatura comparada,7
disfruto la explorando lingüística semántica,7
entender de que siento una la forma es literatura humanidad,7
me apasiona la el dramaturgia guionismo,7
por los la quiero el lectura promover amor libros,7
disfruto estudiando mitologías narrativas antiguas,7
me interesa la enseñanza del lenguaje alfabetización,7
siento al crear satisfacción personajes universos ficticios,7
me apasiona sobre temas informar generar conciencia relevantes,8
disfruto contenido audiovisual produciendo multimedia,8
en la quiero trabajar relaciones manejar públicas imagen corporativa,8
me las interesa en redes el sociales estrategias digital marketing,8
de siento por el investigación periodismo motivación,8
me entender cómo los en la gusta medios influyen opinión pública,8
que en la quiero desarrollar sociedad impacten campañas positivamente,8
disfruto de personas historias entrevistando contando,8
me interesa la comunicación cultura interna organizacional,8
de que siento la contribuir al través comunicación cambio social puedo,8
me apasiona la el fotografía fotoperiodismo,8
en quiero producción especializarme radiofónica,8
disfruto escribiendo produciendo contenidos guiones creativos,8
me interesa los en la medios ética responsabilidad informativa,8
las siento por en tecnologías comunicación nuevas entusiasmo,8
me los apasiona motivar inspirar estudiantes,9
disfruto creando innovadores materiales didácticos,9
en quiero especial lo quienes educación trabajar apoyar necesitan,9
me las de interesa la enseñanza investigación educativa metodologías,9
las siento por vocación generaciones formar futuras,9
me gusta el promover aprendizaje activo participativo,9
de en la quiero tecnología el manera integrar aula efectiva,9
disfruto de desarrollo el habilidades facilitando blandas,9
siento la con el educación acceso compromiso equidad,9
me de apasiona la desarrollo su profesional formación docentes,9
las que diseñar quiero programas educativos necesidades actuales respondan,9
disfruto prácticas mejorando evaluando pedagógicas,9
me interesa la al el apoyo psicopedagogía aprendizaje,9
que siento la para mundo mejor educación es un base,9
disfruto otros equipos liderando motivando,10
las mejorar de la quiero organizaciones productividad eficiencia,10
me de interesa la el mercados decisiones análisis toma,10
siento por la el pasión innovación emprendimiento,10
me recursos gestionar gusta el humanos talento potenciar,10
entender las la quiero finanzas contabilidad corporativas,10
disfruto estratégicas negociando estableciendo alianzas,10
me interesa la social empresarial responsabilidad,10
siento los en la con negocios ética transparencia compromiso,10
me de apasiona la para el marketing valor creación cliente,10
de quiero sistemas calidad mejora implementar continua,10
disfruto para analizando datos decisiones apoyar gerenciales,10
me de interesa proyectos la gestión metodologías ágiles,10
siento una ver al organización crecer satisfacción prosperar,10
me las en la con gusta números cuentas trabajar asegurar precisión,11
disfruto financieros estados preparando reportes,11
en quiero fiscal planificación asesorar tributaria,11
me interesa la financieras auditoría irregularidades detectar,11
de siento por la información transparencia responsabilidad confiabilidad,11
me en gusta leyes actualizado normas mantenerme contables,11
las de en quiero ayudar empresas financieras decisiones su toma,11
disfruto analizando costos presupuestos,11
me las interesa la globales contabilidad internacional transacciones,11
las de que siento mi la organizaciones trabajo salud financiera contribuye,11
me apasiona la el control contabilidad interno gerencial,11
eficientes quiero sistemas implementar contables,11
disfruto otros enseñando contables principios,11
me interesa en la ética profesional contable práctica,11
siento al el satisfacción fiscal legal garantizar cumplimiento,11
me las mejorar apasiona el bienestar laborales políticas del personal,12
disfruto entre trabajadores mediando directivos,12
de diseñar quiero desarrollo programas capacitación,12
me de interesa la empleados del gestión talento retención,12
siento con laborales ambientes positivos promover compromiso,12
me gusta el analizar mejoras organizacional clima proponer,12
las de quiero el laborales leyes asegurar cumplimiento,12
disfruto de del sistemas desempeño implementando evaluación,12
me interesa los la laborales negociación colectiva convenios,12
que siento para el humano es clave capital empresarial éxito,12
me en apasiona la su productividad impacto cultura organizacional,12
las procesos de en quiero empresas cambio facilitar adaptación,12
disfruto recursos en tendencias sobre investigando humanos,12
me de interesa en la el trabajo lugar diversidad inclusión,12
de que siento una contribuir vida mejor puedo calidad laboral,12
me cómo en la fascina el analizar sociedad influye individuo,13
las disfruto estructuras sus estudiando sociales dinámicas,13
la quiero temas como investigar social desigualdad movilidad,13
me las interesa culturas comprender subculturas,13
siento curiosidad por los sociales su impacto movimientos,13
me en la gusta métodos investigación utilizar cualitativos cuantitativos,13
en quiero contribuir políticas públicas basadas evidencia,13
las disfruto sociedad entre economía explorando relaciones,13
me las de interesa los la problemas ciudades urbana sociología,13
siento la con el justicia cambio social compromiso,13
me de en apasiona la sociedad educación su sociología rol,13
entender cómo las la quiero tecnología afecta sociales interacciones,13
disfruto la como analizando fenómenos globalización,13
me las de interesa la relaciones sociología familia personales,13
mejorar de que siento la puede nuestras el sociedad comunidades estudio,13
me entender que los apasiona mercados principios rigen,14
disfruto analizando políticas su económicas impacto,14
las quiero tendencias globales estudiar macroeconómicas,14
me interesa la desarrollo economía del reducir pobreza,14
siento por la económica investigación aplicada motivación,14
me con gusta datos trabajar modelos econométricos estadísticos,14
en quiero finanzas presupuestos públicas asesorar gubernamentales,14
disfruto la economía explorando ambiental sostenibilidad,14
me interesa la el economía del comportamiento consumidor conductual,14
que siento la para es clave economía decisiones tomar informadas,14
me las apasiona el económicas relaciones internacional comercio,14
de quiero tendencias analizar mercados financieros inversión,14
disfruto la historia sus estudiando económica lecciones,14
me interesa la el economía del laboral análisis empleo,14
siento por contribuir al bienestar económico general responsabilidad,14
me las de los apasiona personas defender derechos libertades,15
disfruto estudiando casos jurisprudencia,15
en quiero justicia especializarme derecho penal,15
me interesa los globales el derecho internacional tratados,15
siento la con ética compromiso equidad legal,15
me construir gusta sólidos casos argumentar,15
en quiero derecho asesorar corporativo contratos,15
disfruto en participando mediaciones resoluciones alternativas,15
me de interesa los la derechos humanos protección,15
que siento una la para sociedad es fundamental ley justa,15
me apasiona la el derecho ambiental conservación,15
en quiero políticas trabajar públicas legislación,15
disfruto conocimientos legales enseñando divulgando,15
me interesa la el derecho propiedad intelectual tecnológico,15
siento por la mantener del sistema responsabilidad integridad legal,15
me las apasiona creencias explorar religiosas doctrinas,16
las de en la quiero historia religiones profundizar,16
me interesa el diálogo respeto interreligioso mutuo,16
siento por vocación servir espiritualmente acompañar,16
me gusta reflexionar sobre cuestiones existenciales éticas,16
la quiero contribuir educación religiosa moral,16
disfruto de en la el analizando impacto cultura religión,16
me interesa la el trabajo comunitario pastoral,16
que siento una la puede para el ser fe fuerza bien común,16
me apasiona la sus fundamentos teología sistemática,16
quiero sobre investigar espiritualidad misticismo,16
disfruto en participando actividades ecuménicas,16
me interesa la aplicación su ética práctica teológica,16
siento compartir comprender espirituales enseñanzas llamado,16
siempre me ha gustado entender cómo funcionan las cosas mejorar procesos los,0
me entender cómo funcionan las cosas gusta,0
me entender cómo funcionan las cosas mejorar procesos los gusta,0
me eventos de que todo la gusta organizar asegurarme va perfección,0
me eventos de que todo salga gusta organizar asegurarme bien,0
me de que todo salga gusta asegurarme bien,0
las de encontrar más eficientes hacer tareas cotidianas en estoy formas interesado,0
las de encontrar más eficientes hacer tareas cotidianas quiero formas,0
me las de encontrar más eficientes hacer tareas cotidianas formas gustaría,0
cómo curiosidad pueden los recursos en una empresa sobre ser tengo optimizados,0
cómo se pueden los recursos en una empresa quiero saber maximizar,0
cómo curiosidad por se pueden los recursos en una empresa tengo saber maximizar,0
me de apasiona proyectos grandes la gestión planificación,0
me planificar gestionar proyectos grandes encanta,0
me planificar gestionar proyectos grandes gusta,0
que en desde he querido construir edificios dejar mi huella la ciudad un niño era,1
que en una desde he querido dejar la ciudad un niño era marca,1
en una construir edificios dejar la ciudad quiero marca,1
me cómo encanta diseñar ver mis ideas toman forma,1
me cómo ver mis ideas toman forma gusta,1
me cómo se intriga puentes estructuras enormes construyen,1
me cómo las interesa se estructuras construyen,1
me cómo las interesa se los puentes estructuras construyen,1
de una quiero contribuir al desarrollo infraestructura sostenible,1
de en una la quiero desarrollo el diferencia marcar infraestructura sostenible,1
una quiero desarrollar ayudar infraestructura sostenible,1
me en la al aire libre contacto con naturaleza gusta trabajar,1
me al aire libre gusta trabajar,1
me en la naturaleza gusta trabajar,1
en la paso horas computadora creando programas resolviendo problemas,2
en la paso computadora mucho tiempo,2
la computadora programas problemas resolver para crear utilizo,2
me cómo mejorar la fascina tecnología puede nuestras vidas,2
mejorar la tecnología puede nuestras vidas,2
me cómo mejorar interesa la tecnología puede nuestras vidas,2
siempre las de al con estoy día últimas tendencias software tecnologías,2
siempre las de al con estoy día últimas tendencias software,2
siempre las de al estoy últimas tendencias software tanto,2
me gusta resolver puzzles lógicos retos,2
me gusta resolver acertijos,2
disfruto resolviendo desafíos lógicos rompecabezas,2
de que una quiero desarrollar aplicación ayude millones personas,2
me de que una desarrollar aplicación ayude millones personas gustaría,2
entender cómo de quiero nos comunicamos través dispositivos móviles,3
me entender cómo interesa nos comunicamos,3
mejorar en quiero remotas internet el acceso zonas,3
mejorar en quiero áreas remotas internet,3
cómo las curiosidad funciona internet redes globales sobre tengo,3
cómo las curiosidad funciona internet redes globales sobre tengo,3
me cómo funcionan ver gusta dispositivos electrónicos para desmontar,3
me cómo funcionan los ver gusta dispositivos electrónicos,3
me cómo funcionan los ver gusta dispositivos electrónicos para desmantelar,3
las de en la con sueño participar el avance tecnologías comunicación,3
las de en la quiero participar el avance tecnologías comunicación,3
me las de en la participar el avance tecnologías comunicación gustaría,3
de edificios diseños espacios creo dibujo,4
de edificios diseños espacios creo dibujo,4
me de la diseñar inspira idea lugares donde gente vive trabaja,4
me de la diseñar idea lugares donde gente vive trabaja inspiró,4
me de la diseñar gusta idea lugares donde gente vive trabaja,4
cómo en estoy el entorno construido afecta nuestro bienestar interesado,4
cómo quiero el entorno construido afecta nuestro bienestar saber,4
me cómo interesa nos el entorno construido afecta,4
me en mis combinar arte creaciones gustaría función,4
que mis quiero arte creaciones como tanto tengan función,4
de mi ciudad quiero contribuir al paisaje urbano,4
de en mi la ciudad quiero el paisaje urbano diferencia marcar,4
me las de la encanta el reflexionar sobre preguntas profundas vida significado,5
me de en la gusta el vida pensar significado,5
me de en la gusta el preguntas profundas vida pensar significado,5
me de grandes gusta obras pensadores filósofos leer,5
me de gusta obras filósofos leer,5
me de grandes gusta obras filósofos leer,5
me cómo las interesa la ideas han moldeado historia humana,5
cómo las curiosidad la ideas sobre han moldeado historia humana tengo,5
en quiero el ayudar otros pensar críticamente mundo,5
me en el ayudar otros pensar críticamente mundo gustaría,5
en quiero personas el ayudar pensar mundo otras,5
siento una con conexión especial morales cuestiones éticas,5
me siento morales cuestiones éticas conectado,5
las una con conexión especial morales cuestiones tengo éticas,5
siempre entender por he querido la qué como lo gente hace actúa,6
entender por la quiero qué como lo gente hace actúa,6
entender que por la quiero qué lo gente hace,6
me cómo funcionan las interesa la mente emociones humanas,6
entender cómo funcionan las la quiero mente emociones humanas,6
me cómo interesa la funciona humana mente,6
quiero problemas ayudar otros superar sus sentirse mejor,6
me problemas ayudar otros superar sus gustaría,6
la quiero con problemas ayudar sus gente,6
me la gusta apoyo gente escuchar ofrecer,6
la apoyo gente ofrezco escucho,6
me gusta apoyo escuchar ofrecer,6
me desde la encanta desarrollo el estudiar humano hasta infancia edad adulta,6
disfruto desde la desarrollo el humano hasta estudiando infancia edad adulta,6
desde la desarrollo el humano hasta estudio infancia edad adulta,6
mis son pasiones escribir leer mayores,7
me más gusta escribir leer,7
me gusta escribir leer,7
me en con gusta perderme historias crear mundos palabras,7
mis quiero con el mundo historias ser escritor compartir,7
me mis con el mundo historias ser escritor compartir encantaría,7
en estoy sus analizar textos descubrir significados ocultos interesado,7
encontrar los en estoy textos significados ocultos interesado,7
los en estoy textos descubrir significados ocultos interesado,7
disfruto estudiando diferentes estilos literarios históricos tiempos,7
me los gusta estudiar estilos literarios históricos tiempos,7
me gusta estudiar literarios históricos tiempos,7
me las de gusta otros noticias informar,8
me las de gusta personas noticias informar otras,8
me de los en apasiona la para el comunicación poder medios influir sociedad,8
me de que los en apasiona la medios sociedad es influencia algo,8
de que pueden la quiero ser voz no escuchados aquellos,8
que por pueden quiero no aquellos hablar,8
me de que la son ser voz no escuchados gustaría aquellos,8
me de gusta través historias contar imágenes,8
me gusta historias contar fotografiar,8
me las la con gusta redes para crear contenido sociales gente conectarme,8
me las gusta redes para crear contenido sociales,8
de siento una compartir vocación enseñar conocimientos,9
me gusta compartir enseñar conocimientos,9
quiero compartir enseñar conocimientos,9
me de ver otros llena alegría aprender crecer,9
me ver otros crecer hace feliz,9
me ver gusta otros aprender crecer,9
de hacer los en una la quiero vida diferencia niños jóvenes,9
de los la quiero vida niños jóvenes cambiar,9
de los en la quiero vida diferencia niños jóvenes marcar,9
de en estoy desarrollar métodos enseñanza innovadores interesado,9
de quiero desarrollar métodos enseñanza innovadores,9
me de desarrollar métodos enseñanza innovadores gustaría,9
que la para mejor creo educación es clave un futuro,9
siempre he para tenido habilidades organizar equipos dirigir,10
las para habilidades organizar equipos dirigir tengo,10
para habilidades organizar equipos dirigir tengo,10
me cómo funcionan las mejorar interesa pueden empresas,10
me cómo funcionan las interesa empresas,10
cómo funcionan las mejorar pueden quiero empresas saber,10
me planificar gusta estrategias lograr metas,10
me planificar gusta estrategias lograr metas,10
me planificar gusta lograr metas,10
mi con día sueño dirigir propio negocio algún,10
me mi día dirigir propio negocio algún gustaría,10
me mi día dirigir propio negocio algún gustaría,10
me las más eficientes apasiona ayudar ser organizaciones,10
las más eficientes ser organizaciones ayudo,10
las más eficientes quiero ayudar ser organizaciones,10
me todo los en con gusta soy bueno números mantener orden,11
me todo en gusta mantener orden,11
me cómo las interesa se en una empresa manejan finanzas,11
cómo las se en una empresa quiero manejan finanzas saber,11
cómo las curiosidad por se en una empresa manejan finanzas tengo saber,11
me hacer gusta analizar datos cálculos precisos,11
me hacer gusta cálculos precisos,11
de que se los recursos quiero asegurarme correctamente utilizan,11
me siento satisfecho cuando cuentas complicadas cubro,11
me siento cuando cuentas complicadas bien cubro,11
me de los una empresa el bienestar preocupa empleados,12
me de los el bienestar preocupa empleados,12
las mejorar de quiero el entorno condiciones trabajo laboral,12
mejorar de quiero el ambiente trabajo,12
mejorar de quiero el entorno trabajo,12
me interesa mediar entre trabajadores empleadores,12
los quiero ayudar trabajadores empleadores,12
me los ayudar trabajadores empleadores gustaría,12
disfruto de planificando oportunidades crecimiento entrenamientos,12
me de planificar gusta oportunidades crecimiento entrenamientos,12
me que en la crear políticas beneficien todos organización gustaría,12
que quiero crear políticas beneficien todos,12
me cómo las fascina estudiar sociedades evolucionan cambian,13
me cómo las gusta estudiar sociedades cambian,13
cómo las disfruto estudiando sociedades evolucionan cambian,13
cómo los quiero problemas resolver sociales saber,13
entender cómo los quiero problemas resolver sociales,13
de en la estoy culturas comunidades diversas investigación interesado,13
me investigar culturas comunidades diversas gustaría,13
más en estoy sobre diferentes culturas aprender interesado,13
me tendencias gusta analizar sociales comportamientos colectivos,13
disfruto que tendencias lo son sociales analizando comportamientos colectivos,13
cosas disfruto que tendencias son sociales analizando comportamientos colectivos,13
mejorar que la el mundo mejor sociedad creo podemos si entendemos,13
mejorar la el mundo sociedad podemos si entendemos,13
siempre me ha gustado entender cómo la funciona economía mundial,14
me entender cómo la gusta funciona economía mundial,14
me cómo la gusta funciona economía saber mundial,14
me las interesa los tendencias analizar mercados predecir financieras,14
me las los tendencias gusta analizar mercados predecir financieras,14
me las que interesa tendencias es predecir financieras algo,14
de que mi la quiero contribuir políticas mejoren situación económica país,14
mejorar de mi la quiero ayudar situación económica país,14
mejorar de mi la quiero ayudar economía país,14
me gusta estudiar datos gráficos económicos,14
me gusta estudiar datos gráficos económicos,14
me gusta estudiar datos gráficos,14
que en quiero trabajar instituciones decisiones importantes tomen,14
me que en toman trabajar instituciones decisiones importantes encantaría,14
de que desde he la sentido un niño fuerte justicia era,15
de que desde he la sentido un niño fuerte justicia era,15
de pueden los quiero quienes no defender derechos hacerlo solos,15
de que por pueden los quiero no defender derechos hacerlo su cuenta aquellos,15
las de que por pueden los quiero personas no defender derechos hacerlo su cuenta,15
cómo las se en la estoy vida conocer leyes aplican cotidiana interesado,15
cómo las se en la quiero vida leyes aplican cotidiana saber,15
me cómo las se en la vida leyes aplican cotidiana saber gustaría,15
me en gusta participar debates discutir,15
me en gusta participar debates,15
me los en gusta participar debates discutir,15
hacer en una mi con sueño ser diferencia abogado comunidad,15
hacer en una mi quiero ser diferencia abogado comunidad,15
me hacer en una mi ser diferencia abogado comunidad gustaría,15
más siento una mi quiero con conexión profunda fe estudiarla fondo,16
me más siento mi quiero fe estudiarla fondo conectado,16
entender las en estoy mundo diferentes religiones creencias del interesado,16
entender las quiero mundo diferentes religiones creencias del,16
entender las quiero mundo religiones creencias del,16
en la quiero ayudar gente su camino espiritual,16
me en ayudar otros su camino espiritual gustaría,16
me gusta reflexionar sobre cuestiones existenciales espirituales,16
me en gusta pensar cuestiones existenciales espirituales,16
me gusta reflexionar sobre cuestiones existenciales espirituales,16
mi con sueño sobre compartir enseñar fe conocimiento,16
mi quiero sobre compartir enseñar fe conocimiento,16
me de mi compartir enseñar fe encantaría conocimiento acerca,16
me cómo mejorar de se pueden los intriga sistemas producción,0
cómo mejorar de curiosidad por se pueden los sistemas producción tengo saber,0
me cómo mejorar de interesa se pueden los sistemas producción,0
encontrar los quiero problemas soluciones prácticas cotidianos,0
las que encontrar los quiero problemas lo son soluciones prácticas cotidianos,0
que encontrar los quiero problemas lo es soluciones prácticas cotidianos,0
me en gusta para trabajar equipo lograr metas comunes,0
me con gusta para un trabajar equipo lograr metas comunes,0
me con gusta para otros trabajar lograr metas comunes,0
de curiosidad por los recursos la gestión eficiente tengo,0
de los recursos en una estoy gestión eficiente interesado,0
me procesos los en apasiona la industriales innovación,0
me procesos en la encanta industriales innovación,0
me procesos en gusta innovar industriales,0
siempre me ha gustado las cosas construir con manos,1
me cosas construir mis con gusta manos,1
de que en la estoy el espacios beneficien comunidad diseño públicos interesado,1
de que la quiero el espacios comunidad diseño públicos beneficie,1
me de que interesa la el espacios beneficien comunidad diseño públicos,1
de que en proyectos mi la quiero participar mejoren país infraestructura,1
mejorar de mi la quiero ayudar país infraestructura,1
de que los en proyectos mi la quiero participar son país infraestructura mejoran,1
me cómo se en una ver gusta idea convierte estructura real,1
me cómo se en una ver gusta idea convierte estructura,1
me de dejar través un legado construcciones gustaría,1
de dejar quiero través un legado construcciones,1
paso aparatos tecnologías mucho tiempo explorando nuevas,2
me gusta aparatos tecnologías nuevas explorar,2
me las aparatos tecnologías nuevas interesan,2
me de gusta aprender nuevos lenguajes programación,2
los quiero problemas desarrollar para sociales soluciones tecnológicas,2
me los problemas desarrollar para sociales soluciones tecnológicas gustaría,2
encontrar los quiero problemas para sociales soluciones tecnológicas,2
me de que la programas gusta vida crear gente facilitan,2
me de más hacer la gusta vida gente fácil,2
de que con sueño el mundo ser cambian parte innovaciones,2
de que quiero el mundo ser parte innovaciones cambien,2
me cómo en al fascina mundo podemos del enviar información otro lado segundos,3
me cómo interesa mundo podemos del enviar información otro lado,3
me cómo de en fascina otros podemos enviar información segundos países cuestión,3
mejorar que en la forma quiero nos conectamos,3
que más quiero para sea fácil nosotros conectarnos,3
que más quiero sea fácil conectarnos,3
me con gusta dispositivos electrónicos experimentar,3
me con gusta dispositivos electrónicos experimentar,3
las que curiosidad por tecnologías no aún existen tengo,3
las que curiosidad por se tecnologías han no aún tengo inventado,3
me de apasiona la idea gente conectar sin importar distancia,3
me apasiona la gente conectar sin importar esté dónde,3
en la gente creo conectar sin importar esté dónde,3
siempre me que mi diseñar lo propio sería espacio imagino,4
cómo en mi diseñar propio sería espacio pienso,4
que mi diseñar lo propio sería espacio imagino,4
de en la estoy el funcionalidad un entre diseño relación edificio interesado,4
me de que interesa la el es un entre diseño relación edificio algo función,4
me interesa la entre diseño relación función,4
me con gusta lugares arquitectura interesante visitar,4
me con gusta lugares arquitectura interesante visitar,4
me que gusta lugares arquitectura interesante tienen visitar,4
que la quiero espacios crear gente inspiren,4
me que la espacios crear gente inspiren gustaría,4
que hacer la quiero espacios gente inspiren,4
en mis quiero diseños combinar arte ciencia,4
me en mis diseños combinar arte ciencia gustaría,4
me las cosas de por encanta qué preguntar,5
me las cosas de por gusta qué preguntar,5
me por gusta qué preguntar,5
me de la gusta vida del universo hablar,5
me de pensar diferentes explorar formas gustaría,5
de maneras quiero pensar diferentes,5
entender que en la nos el nuestro mundo creo filosofía ayuda lugar,5
me apasiona sobre diferentes aprender corrientes filosóficas,5
disfruto sobre filósofos diferentes aprendiendo,5
me gusta sobre diferentes aprender corrientes,5
siempre que he al para el todos sido amigo acuden pedir consejo,6
todos consejo vienen pedirme,6
siempre he todos su sido amigo consejo vienen pedirme,6
entender procesos de los en nuestras estoy decisiones detrás interesado,6
entender procesos de los quiero nuestras decisiones detrás,6
me entender procesos de los nuestras decisiones detrás gustaría,6
me gusta personas sobre diferentes aprender,6
disfruto la sobre gente aprendiendo,6
me mejorar en mi la comunidad salud mental gustaría,6
mejorar en mi la quiero comunidad salud mental,6
que siento por desafíos empatía enfrentan emocionales aquellos,6
las que con desafíos personas enfrentan emocionales empatico,6
que con desafíos enfrentan emocionales aquellos empatico,6
de mi forma es favorita expresión escribir,7
de mi forma es favorita expresión escribir,7
de mi forma es favorita expresión escribir,7
las de hacer en una qué no páginas buena novela sé,7
las de en una estoy páginas novela perdido,7
cómo quiero con el estudiar evolucionan tiempo idiomas,7
cómo quiero con el estudiar cambian tiempo idiomas,7
me cómo con el estudiar cambian tiempo idiomas gustaría,7
me gusta sus analizar descubrir significados poemas profundos,7
me gusta analizar poemas,7
me gusta sus analizar descubrir significados poemas profundos,7
me mi con otros compartir enseñar literatura pasión encantaría,7
mi quiero con otros compartir enseñar literatura pasión,7
me que la historias sociedad contar motiva impactan,8
que la historias sociedad impactan cuento,8
que la quiero historias sociedad contar impacten,8
de en la quiero gente un trabajar televisión radio llegar montón,8
quiero gente llegar mucha,8
me en la trabajar televisión radio gustaría,8
me de gusta sobre temas informar investigar actualidad,8
me de gusta sobre temas informar investigar actualidad,8
de que pueden los una para el comunicación ser medios creo fuerza bien,8
siempre de pueden los una para comunicación ser medios fuerza,8
siempre de que pueden los una para comunicación ser medios creo fuerza,8
me la encanta el producción cine audiovisual,8
me la gusta el producción cine audiovisual,8
que la creo educación es del base cambio social,9
en programas estoy desarrollar innovadores educativos interesado,9
quiero programas desarrollar innovadores educativos,9
me programas desarrollar innovadores educativos gustaría,9
me con gusta niños jóvenes trabajar,9
me con gusta niños trabajar,9
las quiero ayudar nuevas generaciones,9
la quiero para ser un mentor nueva generación,9
que siento mi la vocación enseñanza es,9
que mi vocación enseñar creo es,9
que hacer siento quiero lo enseñar es,9
me proyectos gusta llegar coordinar verlos buen término,10
me proyectos ver gusta llegar buen término,10
me que los proyectos ver gusta buen término llegan,10
entender cómo hacer una empresa desde quiero crecer cero,10
cómo una empresa quiero saber empezar,10
cómo quiero un negocio saber empezar,10
me en gusta trabajar dinámicos competitivos entornos,10
me en gusta trabajar competitivos entornos,10
que siento para otros habilidades liderar tengo motivar,10
las que siento para otros habilidades tengo motivar,10
de que siento la otros tengo motivar capacidad,10
las de los en estoy el mundo finanzas negocios interesado,10
me las los finanzas negocios interesan,10
me las los finanzas negocios interesan,10
siempre las los he con tenido números facilidad matemáticas,11
